BLR,large_airport,Duplicate - Kempegowda International Airport Bengaluru,,AS,IN,IN-KA,Bengaluru,VOBL,BLR,,"0.1, 0.1"
IN-0001,heliport,Siachen Glacier AFS Airport,22000,AS,IN,IN-JK,,,,,"77, 35.5"
IN-0002,heliport,Tawang Air Force Station,8756,AS,IN,IN-AR,,,,,"91.87769317626953, 27.58846092224121"
IN-0003,small_airport,Daulat Beg Oldi Advanced Landing Ground,16200,AS,IN,IN-JK,,,,,"77.9289650917, 35.3964667088"
IN-0004,heliport,Leh Helipad,10682,AS,IN,IN-JK,,,,,"77.53653717041016, 34.12866973876953"
IN-0005,closed,Kayathar Airstrip,,AS,IN,IN-TN,,,,,"77.82062530517578, 8.971388816833496"
IN-0006,closed,Chettinad Airstrip,,AS,IN,IN-TN,,,,,"78.79376983642578, 10.164996147155762"
IN-0007,heliport,Minicoy Helipad,,AS,IN,IN-LD,Minicoy Island,,,,"73.02230072021484, 8.273630142211914"
IN-0008,heliport,Kavaratti Helipad,,AS,IN,IN-LD,,,,,"72.61604309082031, 10.541667938232422"
IN-0009,heliport,Gangtok Helipad,,AS,IN,IN-SK,,,,,"88.61410522460938, 27.355697631835938"
IN-0010,small_airport,Walong Advanced Landing Ground,,AS,IN,IN-AR,,,,,"97.019660949707, 28.12967300415"
IN-0011,medium_airport,Jakkur Aerodrome,3013,AS,IN,IN-KA,Bengaluru,VOJK,,,"77.597645, 13.07674"
IN-0012,small_airport,Pakyong Airport (Under Construction),4590,AS,IN,IN-SK,,,,,"88.587196, 27.2313"
IN-0013,small_airport,Nadirgul Airport,1811,AS,IN,IN-TG,,,,,"78.5604858398, 17.3060665131"
IN-0014,closed,Koirengei Airstrip,,AS,IN,IN-MN,,,,,"93.9256820678711, 24.872459411621094"
IN-0015,small_airport,Baljek Airport,,AS,IN,IN-ML,,,,,"90.34503936767578, 25.661487579345703"
IN-0016,closed,Ledo Airfield,,AS,IN,IN-AS,,,,,"95.737222, 27.3025"
IN-0017,closed,Dudhkundi Airfield,,AS,IN,IN-WB,,,,,"87.10741996770001, 22.3245915688"
IN-0018,closed,Piardoba Airfield,,AS,IN,IN-WB,,,,,"87.2995948792, 22.9895085468"
IN-0019,closed,Dinjan Airfield,,AS,IN,IN-AS,,,,,"95.269447, 27.538017"
IN-0020,closed,Ulundurpet Airstrip,,AS,IN,IN-TN,,,,,"79.3213748932, 11.6885487471"
IN-0021,heliport,Shikra Naval Helibase,,AS,IN,IN-MM,Mumbai,,,,"72.8292113543, 18.913345681200003"
IN-0022,heliport,Kunjali Helipad,,AS,IN,IN-MM,Mimbai,,,,"72.8084939718, 18.895273369"
IN-0023,small_airport,Amreli Airstrip,,AS,IN,IN-GJ,Amreli,,,,"71.22333526610001, 21.6198508623"
IN-0024,small_airport,Baramati Airport,1978,AS,IN,IN-MM,Pune,,,BMT,"74.590833, 18.226944"
IN-0025,small_airport,Faizabad Airport,350,AS,IN,IN-UP,Faizabad,,,,"82.1543651, 26.7511282"
IN-0026,small_airport,Korba Airport,1200,AS,IN,IN-CT,Rumgara,,,,"82.7194444444, 22.414166666699998"
IN-0027,heliport,Thuampui Helipad,3214,AS,IN,IN-MZ,,,,,"92.73673333330001, 23.745866666699996"
IN-0028,heliport,Pukpui Helipad,,AS,IN,IN-MZ,,,,,"92.76885, 22.942266666699997"
IN-0029,heliport,Lunglei Helipad,,AS,IN,IN-MZ,,,,,"92.7633, 22.8683833333"
IN-0030,heliport,Serchhip Helipad,,AS,IN,IN-MZ,Serchhip,,,,"92.85606666670002, 23.32875"
IN-0031,heliport,Vairengte Helipad,,AS,IN,IN-MZ,,,,,"92.7539333333, 24.478916666699998"
IN-0032,heliport,Saiha Helipad,,AS,IN,IN-MZ,Saiha,,,,"92.98695, 22.4885833333"
IN-0033,small_airport,Aamby Valley Airport,2262,AS,IN,IN-MM,Aamby Valley City,,,,"73.37758333330001, 18.609616666699996"
IN-0034,small_airport,Vijay Nagar Airport,,AS,IN,IN-MM,Vijay Nagar,,,,"73.84056666670001, 19.8841"
IN-0035,heliport,Sevoke Road Indian Army Heliport,472,AS,IN,IN-WB,Salugara,,,,"88.4523166667, 26.7744"
IN-0036,heliport,Pelling Helipad,,AS,IN,IN-SK,Pelling City,,,,"88.23085, 27.3005"
IN-0037,heliport,Namchi Helipad,,AS,IN,IN-SK,Nayabazar,,,,"88.32206666670001, 27.1567333333"
IN-0038,heliport,Upper Tadong Indian Army Helipad,,AS,IN,IN-SK,Upper Tadong,,,,"88.59965, 27.306716666699998"
IN-0039,heliport,Lebong Helipad,,AS,IN,IN-WB,Lebong,,,,"88.2777333333, 27.0590833333"
IN-0040,heliport,Pedong Helipad,,AS,IN,IN-SK,Pedong,,,,"88.61065, 27.1559333333"
IN-0041,heliport,HQ Eastern Air Command Helipad,,AS,IN,IN-ML,Myliem,,,,"91.82655, 25.538183333299997"
IN-0042,heliport,Shillong Indian Army Helipad,,AS,IN,IN-ML,Shillong,,,,"91.8817166667, 25.54425"
IN-0043,heliport,STC BSF Indian Army Helipad,,AS,IN,IN-MN,Gangpimual,,,,"93.67546666670002, 24.3267"
IN-0044,heliport,PAP Complex Heliport,766,AS,IN,IN-PB,Jalandhar,,,,"75.6072, 31.2920833333"
IN-0045,heliport,Catholic Medical Centre Helipad,,AS,IN,IN-MN,Kangla,,,,"93.94275, 24.8062"
IN-0046,heliport,Butcher Island Helipad,,AS,IN,IN-MM,Mumbai,,,,"72.9030833333, 18.9623"
IN-0047,heliport,Mahalaxmi Race Course Helipad,,AS,IN,IN-MM,Mumbai,,,,"72.8215666667, 18.9820333333"
IN-0048,heliport,Raj Bhavan Helipad,,AS,IN,IN-MM,Mumbai,,,,"72.7940166667, 18.94265"
IN-0049,heliport,Kohima Helipad,,AS,IN,IN-NL,Kohima,,,,"94.1139333333, 25.663066666699997"
IN-0050,heliport,Phalodi Airfield,,AS,IN,IN-RJ,Phalodi,,,,"72.389, 27.1128333333"
IN-0051,heliport,"Aviation Research Centre, RAW Headquarter Helipad",,AS,IN,IN-UP,Chakrata,,,,"77.8615, 30.70645"
IN-0052,heliport,Mathura Heliport,,AS,IN,IN-UP,Mathura,,,,"77.68241666670001, 27.464233333299997"
IN-0053,small_airport,Shibpur Airstrip,,AS,IN,IN-AN,Madhupur,,,,"93.0497306585, 13.236316301099999"
